Адрес	Цена кв.метра в год, руб.	Координаты	Стоимость аренды 100кв.метров в месяц	lat	lng
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Комсомольский проспект, 15С2	27 971 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	233091.66666666666	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Пречистенка, 31/16	49 231 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	410258.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Пречистенка, 31/16	49 231 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	410258.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 27К2	53 632 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	446933.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 11А	28 000 руб. за м² в год	{'lat': 55.726771, 'lng': 37.569899}	233333.33333333334	55.726771	37.569899
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большая Пироговская улица, 37-43ка	17 041 руб. за м² в год	{'lat': 55.72898499999999, 'lng': 37.56486630000001}	142008.33333333334	55.72898499999999	37.56486630000001
Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 11А	30 000 руб. за м² в год	{'lat': 55.726771, 'lng': 37.569899}	250000.0	55.726771	37.569899
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 34	от 41 400 ₽ за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	345000.0	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 26	134 472 руб. за м² в год	{'lat': 55.7274879, 'lng': 37.5811804}	1120600.0	55.7274879	37.5811804
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Малая Пироговская улица, 8	51 429 руб. за м² в год	{'lat': 55.72981799999999, 'lng': 37.5708928}	428575.0	55.72981799999999	37.5708928
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Остоженка, 11	65 754 руб. за м² в год	{'lat': 55.7420124, 'lng': 37.5999249}	547950.0	55.7420124	37.5999249
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 31-33	54 869 руб. за м² в год	{'lat': 55.7374091, 'lng': 37.5877805}	457241.6666666667	55.7374091	37.5877805
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 46	от 32 617 ₽ за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	271808.3333333333	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 17	43 767 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	364725.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Остоженка, 14/2	55 842 руб. за м² в год	{'lat': 55.741809, 'lng': 37.5991577}	465350.0	55.741809	37.5991577
Москва, ЦАО, р-н Хамовники, м. Смоленская, Смоленская-Сенная площадь, 23/25	38 729 руб. за м² в год	{'lat': 55.7459344, 'lng': 37.5819464}	322741.6666666667	55.7459344	37.5819464
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Остоженка, 11	от 97 207 ₽ за м² в год	{'lat': 55.7420124, 'lng': 37.5999249}	810058.3333333334	55.7420124	37.5999249
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Бурденко, 14	8 736 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	72800.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Бурденко, 14	10 440 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	87000.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 48	54 000 руб. за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	450000.0	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Спортивная, Кооперативная улица, 2К14	48 000 руб. за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	400000.0	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Спортивная, Малая Пироговская улица, 25	96 000 руб. за м² в год	{'lat': 55.726792, 'lng': 37.5644221}	800000.0	55.726792	37.5644221
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 11	46 154 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	384616.6666666667	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 38/16	66 000 руб. за м² в год	{'lat': 55.7230967, 'lng': 37.5755407}	550000.0	55.7230967	37.5755407
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 48	от 6 000 ₽ за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	50000.0	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Тимура Фрунзе, 18	24 879 руб. за м² в год	{'lat': 55.735519, 'lng': 37.594238}	207325.0	55.735519	37.594238
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, 2-я Фрунзенская улица, 12	36 364 руб. за м² в год	{'lat': 55.7242143, 'lng': 37.5803058}	303033.3333333333	55.7242143	37.5803058
Москва, ЦАО, р-н Хамовники, м. Киевская, Саввинская набережная, 7С3	19 355 руб. за м² в год	{'lat': 55.737585, 'lng': 37.5695641}	161291.66666666666	55.737585	37.5695641
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 15С1	119 988 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	999900.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 16-20С1	15 800 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	131666.66666666666	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Киевская, 1-й Вражский переулок, 4	20 409 руб. за м² в год	{'lat': 55.73989, 'lng': 37.574189}	170075.0	55.73989	37.574189
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 40	17 640 руб. за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	147000.0	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, 3-я Фрунзенская улица, 10	33 600 руб. за м² в год	{'lat': 55.7212095, 'lng': 37.5787597}	280000.0	55.7212095	37.5787597
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 11	38 503 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	320858.3333333333	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 15С1	97 296 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	810800.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Спортивная, Новодевичий проезд, 2	14 308 руб. за м² в год	{'lat': 55.72799639999999, 'lng': 37.56014330000001}	119233.33333333333	55.72799639999999	37.56014330000001
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 44	32 736 руб. за м² в год	{'lat': 55.7208213, 'lng': 37.5724721}	272800.0	55.7208213	37.5724721
Москва, ЦАО, р-н Хамовники, м. Киевская, 1-й Вражский переулок, 4	80 770 руб. за м² в год	{'lat': 55.73989, 'lng': 37.574189}	673083.3333333334	55.73989	37.574189
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Остоженка, 14/2	23 334 руб. за м² в год	{'lat': 55.741809, 'lng': 37.5991577}	194450.0	55.741809	37.5991577
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, переулок Померанцев, 3	37 000 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	308333.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 15С2	67 000 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	558333.3333333334	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 11	51 337 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	427808.3333333333	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 30С1	76 596 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	638300.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, Всеволожский переулок, 5	от 47 493 ₽ за м² в год	{'lat': 55.742774, 'lng': 37.598022}	395775.0	55.742774	37.598022
Москва, ЦАО, р-н Хамовники, м. Киевская, Саввинская набережная, 3	33 812 руб. за м² в год	{'lat': 55.7387713, 'lng': 37.57092919999999}	281766.6666666667	55.7387713	37.57092919999999
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 11	62 580 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	521500.0	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 36/2	14 793 руб. за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	123275.0	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 27К1	46 512 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	387600.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Лужники, Комсомольский проспект, 44	46 875 руб. за м² в год	{'lat': 55.7208213, 'lng': 37.5724721}	390625.0	55.7208213	37.5724721
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большая Пироговская улица, 37-43ка	49 656 руб. за м² в год	{'lat': 55.72898499999999, 'lng': 37.56486630000001}	413800.0	55.72898499999999	37.56486630000001
Москва, ЦАО, р-н Хамовники, м. Киевская, 1-й Вражский переулок, 4	26 990 руб. за м² в год	{'lat': 55.73989, 'lng': 37.574189}	224916.66666666666	55.73989	37.574189
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 36	42 121 руб. за м² в год	{'lat': 55.723729, 'lng': 37.5761887}	351008.3333333333	55.723729	37.5761887
Москва, ЦАО, р-н Хамовники, м. Спортивная, Фрунзенская набережная, 54	28 532 руб. за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	237766.66666666666	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 27К1	90 129 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	751075.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 36/2	20 711 руб. за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	172591.66666666666	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Пречистенка, 24/1	61 224 руб. за м² в год	{'lat': 55.7418626, 'lng': 37.5936713}	510200.0	55.7418626	37.5936713
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Погодинская улица, 2	29 097 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	242475.0	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Киевская, Погодинская улица, 2	от 29 528 ₽ за м² в год	{'lat': 55.7355465, 'lng': 37.5731153}	246066.66666666666	55.7355465	37.5731153
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Погодинская улица, 2	29 098 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	242483.33333333334	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Боровицкая, улица Волхонка, 9С1	116 924 руб. за м² в год	{'lat': 55.7470728, 'lng': 37.607641}	974366.6666666666	55.7470728	37.607641
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Пречистенка, 40/2С2	37 444 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	312033.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 15С2	30 910 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	257583.33333333334	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Пречистенская набережная, 5	51 516 руб. за м² в год	{'lat': 55.7365401, 'lng': 37.600789}	429300.0	55.7365401	37.600789
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 25	41 625 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	346875.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 27К1	48 649 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	405408.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Пречистенка, 31/16	67 500 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	562500.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Фрунзенская набережная, 16к1	27 000 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	225000.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 15С1	98 232 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	818600.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 29	53 571 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	446425.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 40	48 000 руб. за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	400000.0	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 46	от 23 729 ₽ за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	197741.66666666666	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большая Пироговская улица, 37-43ка	22 721 руб. за м² в год	{'lat': 55.72898499999999, 'lng': 37.56486630000001}	189341.66666666666	55.72898499999999	37.56486630000001
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 15С2	36 000 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	300000.0	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 29	66 822 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	556850.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Тимура Фрунзе, 11	72 000 руб. за м² в год	{'lat': 55.735519, 'lng': 37.594238}	600000.0	55.735519	37.594238
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, улица Ефремова, 10с1к4/2	от 42 000 ₽ за м² в год	{'lat': 55.72399, 'lng': 37.5733088}	350000.0	55.72399	37.5733088
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 28	87 041 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	725341.6666666666	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 17	91 671 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	763925.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Смоленская, Смоленская улица, 3	37 870 руб. за м² в год	{'lat': 55.74726099999999, 'lng': 37.581945}	315583.3333333333	55.74726099999999	37.581945
